,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title
4,"KP Dharmasena, HNG Wadle",78,2002,[PDF] virginia.edu,Journal of materials research,"KP Dharmasena, HNG Wadley - Journal of materials research, 2002 - cambridge.org","Cellular metal foams are of interest because of the ability to tailor their mechanical, thermal, acoustic, and electrical properties by varying the relative density and cell morphology. Here, a tetrakaidecahedral unit-cell approach is used to represent an open-cell aluminum foam ",Electrical conductivity of open-cell metal foams
5,"M Vesenjak, C Veyhl, T Fiedle",55,2012,No,Materials Science and Engineering: A,"M Vesenjak, C Veyhl, T Fiedler - Materials Science and Engineering: A, 2012 - Elsevier",This paper addresses numerical and experimental analysis of the m. pore® aluminium foam. Numerical models are based on computed tomography data in order to capture the complex material meso-structure. Uni-axial experimental tests were performed for quasi-static loading,Analysis of anisotropy and strain rate sensitivity of open-cell metal foam
6,"DT Queheillalt, Y Katsumura, HNG Wadle",96,2004,[PDF] semanticscholar.org,Scripta Materialia,"DT Queheillalt, Y Katsumura, HNG Wadley - Scripta Materialia, 2004 - Elsevier"," The powder coated carbon foam was transient liquid phase sintered, densifying the powder
coating resulting  were measured and found to be comparable to theoretical models for open cell,
stochastic foams  [1] HNG WadleyCellular metals and metal foaming technology. Verlag ",Synthesis of stochastic open cell Ni-based foams
7,"S Krishnan, SV Garimella",70,2008,[PDF] purdue.edu,Journal of ,"S Krishnan, SV Garimella - Journal of , 2008 -  .asmedigitalcollection.asme.org",Direct simulation of thermal transport in open-cell metal foams is conducted using different periodic unit-cell geometries. The periodic unit-cell structures are constructed by assuming the pore space to be spherical and subtracting the pore space from a unit cube of the metal,Simulation of thermal transport in open-cell metal foams: effect of periodic unit-cell structure
8,"M Wang, N Pa",221,2008,[PDF] psu.edu,International Journal of Heat and Mass Transfer,"M Wang, N Pan - International Journal of Heat and Mass Transfer, 2008 - Elsevier"," and burn rate enhancer for solid propellants [7], [8]. More recently, the metal foams have been 
evaluations of the effective thermal transport properties of such porous foam materials  proposed
for modeling and predicting the effective thermal conductivity of open-cell porous foam ",Modeling and prediction of the effective thermal conductivity of random open-cell porous foams
9,"C San Marchi, A Mortense",194,2001,[PDF] epfl.ch,Acta Materialia,"C San Marchi, A Mortensen - Acta Materialia, 2001 - Elsevier"," g cm ˆ’3 ). These foams feature cells of relatively uniform size and a cell diameter of  The replication
technique consists of three basic steps: preparation of an open-pore pattern, infiltration of the 
the desired metal, and subsequent removal of the pattern to produce a metal sponge ",Deformation of open-cell aluminum foam
10,I Ghos,47,2008,No,Journal of heat transfer,"I Ghosh - Journal of heat transfer, 2008 -  .asmedigitalcollection.asme.org","Forced convection heat transfer in high porosity metal foam, either attached to an isothermal surface or confined between two isothermal plates, has been analyzed, assuming a repetitive simple cubic structure for the foam matrix. The model, in the microscopic level",Heat-transfer analysis of high porosity open-cell metal foam
11,"K Boomsma, D Poulikakos, F Zwic",663,2003,[PDF] dtic.mil,Mechanics of materials,"K Boomsma, D Poulikakos, F Zwick - Mechanics of materials, 2003 - Elsevier"," Almost every assembled heat exchanger showed an increase in the flow resistance compared
to its unbrazed counterpart due to the presence of the brazing material in the pores of the
open-cell metal foam at the brazing interface. Foams 95-08 and 92-06 showed a slight ",Metal foams as compact high performance heat exchangers
12,"KA Dannemann, J Lankford J",318,2000,No,Materials Science and Engineering: A,"KA Dannemann, J Lankford Jr - Materials Science and Engineering: A, 2000 - Elsevier"," 2. Additional investigations have been conducted in our laboratory on open- and
closed-cell (Alporas) metal foams in an effort to better understand the factors contributing
to strain-rate dependency in these materials. Download full-size image. Fig ",High strain rate compression of closed-cell aluminium foams
13,I Ghos,44,2009,No,Journal of Heat Transfer,"I Ghosh - Journal of Heat Transfer, 2009 - ebooks.asmedigitalcollection.asme ",High porosity open-cell metal foam is considered to be an attractive choice for compact heat exchanger applications because of its high area density and superior thermal performance. A systematic study has been made in the present article to verify the suitability of the porous,How good is open-cell metal foam as heat transfer surface?
14,"N Dukhan, M Al",50,2012,[PDF] academia.edu,International Journal of Thermal Sciences,"N Dukhan, M Ali - International Journal of Thermal Sciences, 2012 - Elsevier","In applications where a fluid flows through the open pores of metal foam, the foam is treated as an infinite porous medium for which the Darcy law and the Forchheimer equation are applied, in order to describe the pressure drop and to obtain the permeability and form drag",Strong wall and transverse size effects on pressure drop of flow through open-cell metal foam
15,"S Kim, CW Le",36,2014,[PDF] sciencedirect.com,Procedia Materials Science,"S Kim, CW Lee - Procedia Materials Science, 2014 - Elsevier","The present paper introduces the manufacturing process and industrial applications of Alantum metal foams having a complete open-pore structure. Wide spectrum of foam products, based on several distinguished properties of metal foams is described. Examples",A review on manufacturing and application of open-cell metal foam
16,"CY Zhao, TJ Lu, HP Hodso",194,2004,No,International Journal of Heat and Mass ,"CY Zhao, TJ Lu, HP Hodson - International Journal of Heat and Mass , 2004 - Elsevier"," radiation mechanisms in open-celled cellular metal foams. The metal foam will be considered
as a semi-transparent medium capable of absorbing, emitting and scattering thermal radiation.
The spectral transmittance and reflectance of FeCrAlY foams with different cell sizes but ",Thermal radiation in ultralight metal foams with open cells
17,"N Dukhan, K Pate",43,2011,No,Journal of Porous Materials,"N Dukhan, K Patel - Journal of Porous Materials, 2011 - Springer","Many applications require fluid flow through the open pores of metal foam. The foam is usually treated as a porous medium for which the Darcy law and the Hazen-Dupuit-Darcy (or Forchheimer) equation are used to describe the pressure drop, and for obtaining the two",Effect of sample's length on flow properties of open-cell metal foam and pressure-drop correlations
18,"KI Salas, AM Waa",57,2007,[PDF] researchgate.net,Journal of heat transfer,"KI Salas, AM Waas - Journal of heat transfer, 2007 -  .asmedigitalcollection.asme.org",Convective heat transfer in aluminum metal foam sandwich panels is investigated with potential applications to actively cooled thermal protection systems in hypersonic and re-entry vehicles. The size effects of the metal foam core are experimentally investigated and,Convective heat transfer in open cell metal foams
19,"N Dukhan,  Bac, M zdemi",40,2015,No,International Journal of Heat and Mass ,"N Dukhan,  Bac, M zdemir - International Journal of Heat and Mass , 2015 - Elsevier","Experimental heat transfer results for a commercial open-cell aluminum foam cylinder heated at the wall by a constant heat flux and cooled by water flow, are presented. The results cover thermal-entry and fully-developed regions. Measurements include wall",Thermal development in open-cell metal foam: an experiment with constant wall heat flux
0,"A Bhattacharya, VV Calmidi, RL Mahaja",864,2002,No,International Journal of HeatÂ â€¦,"A Bhattacharya, VV Calmidi, RL MahajanÂ - International Journal of HeatÂ â€¦, 2002 - Elsevier","â€¦ For these, Îµ varies from 0.3 to 0.6. The subject matter of this paper is high porosity
fibrous metal foams for which Îµ>0.9Â â€¦ (b) Open cell representation of metal foam and
schematics of the fiber cross-sections at different porositiesÂ â€¦",Thermophysical properties of high porosity metal foams
1,"B Jiang, NQ Zhao, CS Shi, JJ L",87,2005,No,Scripta Materialia,"B Jiang, NQ Zhao, CS Shi, JJ LiÂ - Scripta Materialia, 2005 - Elsevier","â€¦ Metal foams are a new class of materials with low densities and novel physical, mechanical,
thermal, electrical andÂ â€¦ Among current foam-production methods, the preform infiltration technique
is well suited for the production of uniform and fine open cell foams of lowerÂ â€¦",Processing of open cell aluminum foams with tailored porous morphology
2,"CY Zhao, SA Tassou, TJ L",111,2008,No,International Journal of Heat and MassÂ â€¦,"CY Zhao, SA Tassou, TJ LuÂ - International Journal of Heat and MassÂ â€¦, 2008 - Elsevier","â€¦ and using it to establish functional relationships between the cellular structure and the
radiative-transfer characteristics of open-celled metal foams. The effective medium approach
will be totally abandoned, and a simple cubic cell model consisting of slender cylinders asÂ â€¦",Analytical considerations of thermal radiation in cellular metal foams with open cells
3,"XH Yang, JJ Kuang, TJ Lu, FS Han",36,2013,[PDF] hfcas.ac.cn,Journal of Physics DÂ â€¦,"XH Yang, JJ Kuang, TJ Lu, FS Hanâ€¦Â - Journal of Physics DÂ â€¦, 2013 - iopscience.iop.org",We present a simplistic yet accurate analytical model for the effective thermal conductivity of high porosity open-cell metal foams saturated in a low conducting fluid (air). The model is derived analytically based on a realistic representative unit cell (a tetrakaidecahedron),A simplistic analytical unit cell based model for the effective thermal conductivity of high porosity open-cell metal foams
4,"S Feng, Y Zhang, M Shi, T Wen, TJ L",35,2015,[PDF] researchgate.net,Applied Thermal Engineering,"S Feng, Y Zhang, M Shi, T Wen, TJ LuÂ - Applied Thermal Engineering, 2015 - Elsevier",An experimental and theoretical study of the unidirectional freezing of water as a PCM filled in metal foams has been carried out. Particular concern is placed upon determining how the contact conditions between the metal foam and the cold wall influence the freezing process,Unidirectional freezing of phase change materials saturated in open-cell metal foams
5,RB Kapla,676,1994,No,US Patent 5,"RB KaplanÂ - US Patent 5,282,861, 1994 - Google Patent","â€¦ A61L27/56â€”Porous materials, eg foams or sponges. Aâ€”HUMAN NECESSITIES; A61â€”MEDICAL
ORÂ â€¦ of elasticity than do the thin sections of vitreous carbon in the foam substrateÂ â€¦ The open cell
metal structures of the present invention are fabricated using the tantalum metal filmÂ â€¦",Open cell tantalum structures for cancellous bone implants and cell and tissue receptors
6,"DP Haack, KR Butcher, T Kim, TJ L",71,2001,[PDF] researchgate.net,2001 ASME CongressÂ â€¦,"DP Haack, KR Butcher, T Kim, TJ LuÂ - 2001 ASME CongressÂ â€¦, 2001 - researchgate.net","â€¦ Metallic sintering, metal deposition through evaporation, electrodeposition or chemical vapor
decomposition (CVD), and investment casting (among numerous other methods) have created
open cell foams. In foam creation through metal sintering, metallic particles areÂ â€¦",[PDF][PDF] Novel lightweight metal foam heat exchangers
7,"Y Yao, H Wu, Z Li",37,2015,No,International Journal of Thermal Sciences,"Y Yao, H Wu, Z LiuÂ - International Journal of Thermal Sciences, 2015 - Elsevier","In this paper, a new prediction model for the effective thermal conductivity (ETC) of high porosity open-cell metal foams is proposed by introducing the concave tri-prism foam ligament to the tetrakaidecahedron-based foam cell structure as well as considering the",A new prediction model for the effective thermal conductivity of high porosity open-cell metal foams
8,"M Zafari, M Panjepour, MD Emami",35,2015,No,Applied ThermalÂ â€¦,"M Zafari, M Panjepour, MD Emamiâ€¦Â - Applied ThermalÂ â€¦, 2015 - Elsevier","Engineering design of foams employed for specific applications such as heat exchangers entails adequate understanding of their behavior, regarding thermal and hydrodynamic characteristics, which proves to be a serious challenge for the researchers at present. The",Microtomography-based numerical simulation of fluid flow and heat transfer in open cell metal foams
9,"CY Zhao, W Lu, SA Tasso",194,2006,No,International Journal of Heat and MassÂ â€¦,"CY Zhao, W Lu, SA TassouÂ - International Journal of Heat and MassÂ â€¦, 2006 - Elsevier","â€¦ The forced convection heat transfer characteristics in high porosity open-cell metal-foam filled
tube heat exchangers areÂ â€¦ The morphological effects of metal foams on overall heat transfer are
examined. The optimal foam-area ratio for a metal-foam filled counter-flow tube-in-tubeÂ â€¦",Thermal analysis on metal-foam filled heat exchangers. Part II: Tube heat exchangers
10,"EA Friis, RS Lakes, JB Par",346,1988,[PDF] wisc.edu,Journal of Materials Science,"EA Friis, RS Lakes, JB Park - Journal of Materials Science, 1988 - Springer","… 2, 3] that man-made foams, even if closed cell in nature, often behave as an open-cell foam … 9
shows a sample in a strained state: many of the cell walls have been torn or … for thermo- setting
polymer foams; and sequential plastic com- pression in three directions for metal foams …",Negative Poisson's ratio polymeric and metallic foams
0,"EA Friis, RS Lakes, JB Par",346,1988,[PDF] wisc.edu,Journal of Materials Science,"EA Friis, RS Lakes, JB ParkÂ - Journal of Materials Science, 1988 - Springer","â€¦ 2, 3] that man-made foams, even if closed cell in nature, often behave as an open-cell foamÂ â€¦ 9
shows a sample in a strained state: many of the cell walls have been torn orÂ â€¦ for thermo- setting
polymer foams; and sequential plastic com- pression in three directions for metal foamsÂ â€¦",Negative Poisson's ratio polymeric and metallic foams
1,"XH Yang, JX Bai, HB Yan, JJ Kuang, TJ Lu",34,2014,[PDF] researchgate.net,Transport in porousÂ â€¦,"XH Yang, JX Bai, HB Yan, JJ Kuang, TJ Luâ€¦Â - Transport in porousÂ â€¦, 2014 - Springer","We present an analytical model for the effective thermal conductivity of fluid-saturated metal foams with open cells. For high porosity ranges (Îµ â‰¥ 0.9)(Îµâ‰¥ 0.9), the model is derived based on a realistic representative unit cell (a tetrakaidecahedron with cuboid node) under",An analytical unit cell model for the effective thermal conductivity of high porosity open-cell metal foams
2,"LE Murr, SM Gaytan, F Medina, E Martinez",209,2010,No,Materials Science andÂ â€¦,"LE Murr, SM Gaytan, F Medina, E Martinezâ€¦Â - Materials Science andÂ â€¦, 2010 - Elsevier","â€¦ With the exception of the most dense solid and open (or hollow) cell structures, the experimental
hollow cellular foams in Table 1 have relative densities equal to or less than 0.3, consistent with
most of the other reported metal and alloy foams, especially aluminum andÂ â€¦",Characterization of Tiâ€“6Alâ€“4V open cellular foams fabricated by additive manufacturing using electron beam melting
3,"EM Castrodeza, C Mapelli, M Vedani",32,2009,No,Journal of materialsÂ â€¦,"EM Castrodeza, C Mapelli, M Vedaniâ€¦Â - Journal of materialsÂ â€¦, 2009 - Springer","Foams and other highly porous materials with a cellular structure are known to have many interesting combinations of physical and mechanical properties. In addition, foaming of shape memory alloys (SMA) greatly improves the set of application possibilities. In this work",Processing of shape memory CuZnAl open-cell foam by molten metal infiltration
4,"Z Wang, H Ma, L Zhao, G Yan",111,2006,No,Scripta Materialia,"Z Wang, H Ma, L Zhao, G YangÂ - Scripta Materialia, 2006 - Elsevier","â€¦ Metal foams, as a new class of engineering materials, have potential for absorbing energy forÂ â€¦
to the difficulty of characterizing the high strain rate behavior of aluminum alloy foams. Kenny
[2] reported that the specific energy absorption of Alcan foam (open-cell) was independentÂ â€¦",Studies on the dynamic compressive properties of open-cell aluminum alloy foams
5,"M Wicklein, K Thom",72,2005,No,Materials Science and Engineering: A,"M Wicklein, K ThomaÂ - Materials Science and Engineering: A, 2005 - Elsevier","â€¦ The elastic and plastic properties of an open-cell aluminium foam have been determined byÂ â€¦ J.
Banhart, MF Ashby, NA Fleck (Eds.), Cellular Metals and Metal Foaming Technology, MITÂ â€¦ J.
Banhart. J. Banhart, H. Eifert (Eds.), Fraunhofer USA Metal Foam Symposiumâ€”SymposiumÂ â€¦",Numerical investigations of the elastic and plastic behaviour of an open-cell aluminium foam
6,"H Liu, J Wei, Z Q",21,2012,[PDF] xjtu.edu.cn,Journal of Sound and Vibration,"H Liu, J Wei, Z QuÂ - Journal of Sound and Vibration, 2012 - Elsevier","As the speed of high-speed train (HST) increases continuously, aerodynamic noise has become more remarkable compared with the wheel/rail noise, which affects the inhabited environment along the railway and the riding comfort. This paper preliminarily investigates",Prediction of aerodynamic noise reduction by using open-cell metal foam
7,"S De Schampheleire, P De Jaeger, K De Kerpel",23,2016,[PDF] mdpi.com,Materials,"S De Schampheleire, P De Jaeger, K De Kerpelâ€¦Â - Materials, 2016 - mdpi.com","This paper reviews the available methods to study thermal applications with open-cell metal foam. Both experimental and numerical work are discussed. For experimental research, the focus of this review is on the repeatability of the results. This is a major concern, as most",How to study thermal applications of open-cell metal foam: Experiments and computational fluid dynamics
8,"N Michailidis, F Stergioudi, H Omar, DN Tsipa",69,2010,[PDF] academia.edu,Mechanics of Materials,"N Michailidis, F Stergioudi, H Omar, DN TsipasÂ - Mechanics of Materials, 2010 - Elsevier","â€¦ Production of the open-cell Al-foamsÂ â€¦ The construction of the 3D model of the open-cell Al-foam
was based on a serial sectioning methodÂ â€¦ The procedure followed to simulate and calculate the
stresses developed during the deformation of the Al metal foam is described in detail inÂ â€¦",An image-based reconstruction of the 3D geometry of an Al open-cell foam and FEM modeling of the material response
9,"DJ Sypeck, HNG Wadle",204,2002,[PDF] virginia.edu,Advanced Engineering Materials,"DJ Sypeck, HNG WadleyÂ - Advanced Engineering Materials, 2002 - Wiley Online Library","â€¦ Nonetheless, the relative properties of the tetrahedral truss core significantly exceed stochastic
foam systems, areÂ â€¦ Sypeck, Wadley/Cellular Metal Truss Core Sandwich Structures close to model
predictions and show much promise as an open cell counterpart to honeycombÂ â€¦",Cellular metal truss core sandwich structures
10,"EA Friis, RS Lakes, JB Par",346,1988,[PDF] wisc.edu,Journal of Materials Science,"EA Friis, RS Lakes, JB ParkÂ - Journal of Materials Science, 1988 - Springer","â€¦ 2, 3] that man-made foams, even if closed cell in nature, often behave as an open-cell foamÂ â€¦ 9
shows a sample in a strained state: many of the cell walls have been torn orÂ â€¦ for thermo- setting
polymer foams; and sequential plastic com- pression in three directions for metal foamsÂ â€¦",Negative Poisson's ratio polymeric and metallic foams
11,"XH Yang, JX Bai, HB Yan, JJ Kuang, TJ Lu",34,2014,[PDF] researchgate.net,Transport in porousÂ â€¦,"XH Yang, JX Bai, HB Yan, JJ Kuang, TJ Luâ€¦Â - Transport in porousÂ â€¦, 2014 - Springer","We present an analytical model for the effective thermal conductivity of fluid-saturated metal foams with open cells. For high porosity ranges (Îµ â‰¥ 0.9)(Îµâ‰¥ 0.9), the model is derived based on a realistic representative unit cell (a tetrakaidecahedron with cuboid node) under",An analytical unit cell model for the effective thermal conductivity of high porosity open-cell metal foams
12,"LE Murr, SM Gaytan, F Medina, E Martinez",209,2010,No,Materials Science andÂ â€¦,"LE Murr, SM Gaytan, F Medina, E Martinezâ€¦Â - Materials Science andÂ â€¦, 2010 - Elsevier","â€¦ With the exception of the most dense solid and open (or hollow) cell structures, the experimental
hollow cellular foams in Table 1 have relative densities equal to or less than 0.3, consistent with
most of the other reported metal and alloy foams, especially aluminum andÂ â€¦",Characterization of Tiâ€“6Alâ€“4V open cellular foams fabricated by additive manufacturing using electron beam melting
13,"EM Castrodeza, C Mapelli, M Vedani",32,2009,No,Journal of materialsÂ â€¦,"EM Castrodeza, C Mapelli, M Vedaniâ€¦Â - Journal of materialsÂ â€¦, 2009 - Springer","Foams and other highly porous materials with a cellular structure are known to have many interesting combinations of physical and mechanical properties. In addition, foaming of shape memory alloys (SMA) greatly improves the set of application possibilities. In this work",Processing of shape memory CuZnAl open-cell foam by molten metal infiltration
14,"Z Wang, H Ma, L Zhao, G Yan",111,2006,No,Scripta Materialia,"Z Wang, H Ma, L Zhao, G YangÂ - Scripta Materialia, 2006 - Elsevier","â€¦ Metal foams, as a new class of engineering materials, have potential for absorbing energy forÂ â€¦
to the difficulty of characterizing the high strain rate behavior of aluminum alloy foams. Kenny
[2] reported that the specific energy absorption of Alcan foam (open-cell) was independentÂ â€¦",Studies on the dynamic compressive properties of open-cell aluminum alloy foams
15,"M Wicklein, K Thom",72,2005,No,Materials Science and Engineering: A,"M Wicklein, K ThomaÂ - Materials Science and Engineering: A, 2005 - Elsevier","â€¦ The elastic and plastic properties of an open-cell aluminium foam have been determined byÂ â€¦ J.
Banhart, MF Ashby, NA Fleck (Eds.), Cellular Metals and Metal Foaming Technology, MITÂ â€¦ J.
Banhart. J. Banhart, H. Eifert (Eds.), Fraunhofer USA Metal Foam Symposiumâ€”SymposiumÂ â€¦",Numerical investigations of the elastic and plastic behaviour of an open-cell aluminium foam
16,"H Liu, J Wei, Z Q",21,2012,[PDF] xjtu.edu.cn,Journal of Sound and Vibration,"H Liu, J Wei, Z QuÂ - Journal of Sound and Vibration, 2012 - Elsevier","As the speed of high-speed train (HST) increases continuously, aerodynamic noise has become more remarkable compared with the wheel/rail noise, which affects the inhabited environment along the railway and the riding comfort. This paper preliminarily investigates",Prediction of aerodynamic noise reduction by using open-cell metal foam
17,"S De Schampheleire, P De Jaeger, K De Kerpel",23,2016,[PDF] mdpi.com,Materials,"S De Schampheleire, P De Jaeger, K De Kerpelâ€¦Â - Materials, 2016 - mdpi.com","This paper reviews the available methods to study thermal applications with open-cell metal foam. Both experimental and numerical work are discussed. For experimental research, the focus of this review is on the repeatability of the results. This is a major concern, as most",How to study thermal applications of open-cell metal foam: Experiments and computational fluid dynamics
18,"N Michailidis, F Stergioudi, H Omar, DN Tsipa",69,2010,[PDF] academia.edu,Mechanics of Materials,"N Michailidis, F Stergioudi, H Omar, DN TsipasÂ - Mechanics of Materials, 2010 - Elsevier","â€¦ Production of the open-cell Al-foamsÂ â€¦ The construction of the 3D model of the open-cell Al-foam
was based on a serial sectioning methodÂ â€¦ The procedure followed to simulate and calculate the
stresses developed during the deformation of the Al metal foam is described in detail inÂ â€¦",An image-based reconstruction of the 3D geometry of an Al open-cell foam and FEM modeling of the material response
19,"DJ Sypeck, HNG Wadle",204,2002,[PDF] virginia.edu,Advanced Engineering Materials,"DJ Sypeck, HNG WadleyÂ - Advanced Engineering Materials, 2002 - Wiley Online Library","â€¦ Nonetheless, the relative properties of the tetrahedral truss core significantly exceed stochastic
foam systems, areÂ â€¦ Sypeck, Wadley/Cellular Metal Truss Core Sandwich Structures close to model
predictions and show much promise as an open cell counterpart to honeycombÂ â€¦",Cellular metal truss core sandwich structures
20,"N Jha, DP Mondal, JD Majumdar, A Badkul, AK Jha",99,2013,No,Materials & Design,"N Jha, DP Mondal, JD Majumdar, A Badkul, AK Jhaâ€¦Â - Materials & Design, 2013 - Elsevier","â€¦ 7]. In recent years, there has been a strong interest in using metal foams, especially TiÂ â€¦ a
temperature above 400 Â°C. Several methods have been adopted for producing open cell titanium
foamsÂ â€¦ and hollow sphere sintering [3] resulting in limited porosity (<50%) in the foam bodyÂ â€¦",Highly porous open cell Ti-foam using NaCl as temporary space holder through powder metallurgy route
21,"K Boomsma, D Poulikako",309,2002,[PDF] psu.edu,Journal ofÂ â€¦,"K Boomsma, D PoulikakosÂ - Journal ofÂ â€¦, 2002 - â€¦Â .asmedigitalcollection.asme.org","â€¦ Reviewing the pressure-drop data from both the compressed and uncompressed foams, it
becomes apparent that the flow through open-cell metal foams deviates from Darcy law flow be-
havior, ie, the pressure-drop across the foam is a quadratic func- tion of the flow velocityÂ â€¦",The effects of compression and pore size variations on the liquid flow characteristics in metal foams
