,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
10,"L Jing, Z Wang, J Ning, L Zha",73,2011,No,Composites Part B: Engineering,"L Jing, Z Wang, J Ning, L Zhao - Composites Part B: Engineering, 2011 - Elsevier","The deformation and failure modes of dynamically loaded sandwich beams made of aluminum skins with open-cell aluminum foam cores were investigated experimentally. The dynamic compressive stress–strain curves of core materials, open-cell aluminum foam, were",The dynamic response of sandwich beams with open-cell metal foam cores,Composites Part B: Engineering,L Jing
11,"KC Leong, LW Ji",65,2006,No,International Journal of Heat and fluid flow,"KC Leong, LW Jin - International Journal of Heat and fluid flow, 2006 - Elsevier",An experimental study was performed to investigate the characteristics of oscillating flow through a channel filled with open-cell metal foam with a fully inter-connected pore structure. Detailed experimental data of oscillating flow pressure drops and velocities for a wide range,Characteristics of oscillating flow through a channel filled with open-cell metal foam,International Journal of Heat and fluid flow,KC Leong
12,"WY Jang, S Kyriakides, AM Krayni",102,2010,[HTML] sciencedirect.com,International Journal of Solids and …,"WY Jang, S Kyriakides, AM Kraynik - International Journal of Solids and …, 2010 - Elsevier","Two families of finite element models of anisotropic, aluminum alloy, open-cell foams are developed and their predictions of elastic properties and compressive strength are evaluated by direct comparison to experimental results. In the first family of models, the",[HTML][HTML] On the compressive strength of open-cell metal foams with Kelvin and random cell structures,International Journal of Solids and …,WY Jang
13,"X Xiao, P Zhang, M L",91,2014,No,International Journal of Thermal Sciences,"X Xiao, P Zhang, M Li - International Journal of Thermal Sciences, 2014 - Elsevier","The thermal conductivity of phase change material (PCM) significantly affects the thermal performance of latent heat thermal energy storage (LHTES) system, which is attractive for energy conservation and waste heat utilization. Metal foam can be applied to enhance the",Effective thermal conductivity of open-cell metal foams impregnated with pure paraffin for latent heat storage,International Journal of Thermal Sciences,X Xiao
14,"KP Dharmasena, HNG Wadle",78,2002,[PDF] virginia.edu,Journal of materials research,"KP Dharmasena, HNG Wadley - Journal of materials research, 2002 - cambridge.org","Cellular metal foams are of interest because of the ability to tailor their mechanical, thermal, acoustic, and electrical properties by varying the relative density and cell morphology. Here, a tetrakaidecahedral unit-cell approach is used to represent an open-cell aluminum foam ",Electrical conductivity of open-cell metal foams,Journal of materials research,KP Dharmasena
15,"M Vesenjak, C Veyhl, T Fiedle",55,2012,No,Materials Science and Engineering: A,"M Vesenjak, C Veyhl, T Fiedler - Materials Science and Engineering: A, 2012 - Elsevier",This paper addresses numerical and experimental analysis of the m. pore® aluminium foam. Numerical models are based on computed tomography data in order to capture the complex material meso-structure. Uni-axial experimental tests were performed for quasi-static loading,Analysis of anisotropy and strain rate sensitivity of open-cell metal foam,Materials Science and Engineering: A,M Vesenjak
16,"DT Queheillalt, Y Katsumura, HNG Wadle",96,2004,[PDF] semanticscholar.org,Scripta Materialia,"DT Queheillalt, Y Katsumura, HNG Wadley - Scripta Materialia, 2004 - Elsevier","… The powder coated carbon foam was transient liquid phase sintered, densifying the powder
coating resulting … were measured and found to be comparable to theoretical models for open cell,
stochastic foams … [1] HNG WadleyCellular metals and metal foaming technology. Verlag …",Synthesis of stochastic open cell Ni-based foams,Scripta Materialia,DT Queheillalt
17,"S Krishnan, SV Garimella",70,2008,[PDF] purdue.edu,Journal of …,"S Krishnan, SV Garimella… - Journal of …, 2008 - … .asmedigitalcollection.asme.org",Direct simulation of thermal transport in open-cell metal foams is conducted using different periodic unit-cell geometries. The periodic unit-cell structures are constructed by assuming the pore space to be spherical and subtracting the pore space from a unit cube of the metal,Simulation of thermal transport in open-cell metal foams: effect of periodic unit-cell structure,Journal of …,S Krishnan
18,"M Wang, N Pa",221,2008,[PDF] psu.edu,International Journal of Heat and Mass Transfer,"M Wang, N Pan - International Journal of Heat and Mass Transfer, 2008 - Elsevier","… and burn rate enhancer for solid propellants [7], [8]. More recently, the metal foams have been …
evaluations of the effective thermal transport properties of such porous foam materials … proposed
for modeling and predicting the effective thermal conductivity of open-cell porous foam …",Modeling and prediction of the effective thermal conductivity of random open-cell porous foams,International Journal of Heat and Mass Transfer,M Wang
19,"C San Marchi, A Mortense",194,2001,[PDF] epfl.ch,Acta Materialia,"C San Marchi, A Mortensen - Acta Materialia, 2001 - Elsevier","… g cm −3 ). These foams feature cells of relatively uniform size and a cell diameter of … The replication
technique consists of three basic steps: preparation of an open-pore pattern, infiltration of the …
the desired metal, and subsequent removal of the pattern to produce a metal sponge …",Deformation of open-cell aluminum foam,Acta Materialia,C San Marchi
20,I Ghos,47,2008,No,Journal of heat transfer,"I Ghosh - Journal of heat transfer, 2008 - … .asmedigitalcollection.asme.org","Forced convection heat transfer in high porosity metal foam, either attached to an isothermal surface or confined between two isothermal plates, has been analyzed, assuming a repetitive simple cubic structure for the foam matrix. The model, in the microscopic level",Heat-transfer analysis of high porosity open-cell metal foam,Journal of heat transfer,
21,"K Boomsma, D Poulikakos, F Zwic",663,2003,[PDF] dtic.mil,Mechanics of materials,"K Boomsma, D Poulikakos, F Zwick - Mechanics of materials, 2003 - Elsevier","… Almost every assembled heat exchanger showed an increase in the flow resistance compared
to its unbrazed counterpart due to the presence of the brazing material in the pores of the
open-cell metal foam at the brazing interface. Foams 95-08 and 92-06 showed a slight …",Metal foams as compact high performance heat exchangers,Mechanics of materials,K Boomsma
22,"KA Dannemann, J Lankford J",318,2000,No,Materials Science and Engineering: A,"KA Dannemann, J Lankford Jr - Materials Science and Engineering: A, 2000 - Elsevier","… 2. Additional investigations have been conducted in our laboratory on open- and
closed-cell (Alporas) metal foams in an effort to better understand the factors contributing
to strain-rate dependency in these materials. Download full-size image. Fig …",High strain rate compression of closed-cell aluminium foams,Materials Science and Engineering: A,KA Dannemann
23,I Ghos,44,2009,No,Journal of Heat Transfer,"I Ghosh - Journal of Heat Transfer, 2009 - ebooks.asmedigitalcollection.asme …",High porosity open-cell metal foam is considered to be an attractive choice for compact heat exchanger applications because of its high area density and superior thermal performance. A systematic study has been made in the present article to verify the suitability of the porous,How good is open-cell metal foam as heat transfer surface?,Journal of Heat Transfer,
24,"N Dukhan, M Al",50,2012,[PDF] academia.edu,International Journal of Thermal Sciences,"N Dukhan, M Ali - International Journal of Thermal Sciences, 2012 - Elsevier","In applications where a fluid flows through the open pores of metal foam, the foam is treated as an infinite porous medium for which the Darcy law and the Forchheimer equation are applied, in order to describe the pressure drop and to obtain the permeability and form drag",Strong wall and transverse size effects on pressure drop of flow through open-cell metal foam,International Journal of Thermal Sciences,N Dukhan
25,"S Kim, CW Le",36,2014,[PDF] sciencedirect.com,Procedia Materials Science,"S Kim, CW Lee - Procedia Materials Science, 2014 - Elsevier","The present paper introduces the manufacturing process and industrial applications of Alantum metal foams having a complete open-pore structure. Wide spectrum of foam products, based on several distinguished properties of metal foams is described. Examples",A review on manufacturing and application of open-cell metal foam,Procedia Materials Science,S Kim
26,"CY Zhao, TJ Lu, HP Hodso",194,2004,No,International Journal of Heat and Mass …,"CY Zhao, TJ Lu, HP Hodson - International Journal of Heat and Mass …, 2004 - Elsevier","… radiation mechanisms in open-celled cellular metal foams. The metal foam will be considered
as a semi-transparent medium capable of absorbing, emitting and scattering thermal radiation.
The spectral transmittance and reflectance of FeCrAlY foams with different cell sizes but …",Thermal radiation in ultralight metal foams with open cells,International Journal of Heat and Mass …,CY Zhao
27,"N Dukhan, K Pate",43,2011,No,Journal of Porous Materials,"N Dukhan, K Patel - Journal of Porous Materials, 2011 - Springer","Many applications require fluid flow through the open pores of metal foam. The foam is usually treated as a porous medium for which the Darcy law and the Hazen-Dupuit-Darcy (or Forchheimer) equation are used to describe the pressure drop, and for obtaining the two",Effect of sample's length on flow properties of open-cell metal foam and pressure-drop correlations,Journal of Porous Materials,N Dukhan
28,"KI Salas, AM Waa",57,2007,[PDF] researchgate.net,Journal of heat transfer,"KI Salas, AM Waas - Journal of heat transfer, 2007 - … .asmedigitalcollection.asme.org",Convective heat transfer in aluminum metal foam sandwich panels is investigated with potential applications to actively cooled thermal protection systems in hypersonic and re-entry vehicles. The size effects of the metal foam core are experimentally investigated and,Convective heat transfer in open cell metal foams,Journal of heat transfer,KI Salas
29,"N Dukhan, Ö Bağcı, M Özdemi",40,2015,No,International Journal of Heat and Mass …,"N Dukhan, Ö Bağcı, M Özdemir - International Journal of Heat and Mass …, 2015 - Elsevier","Experimental heat transfer results for a commercial open-cell aluminum foam cylinder heated at the wall by a constant heat flux and cooled by water flow, are presented. The results cover thermal-entry and fully-developed regions. Measurements include wall",Thermal development in open-cell metal foam: an experiment with constant wall heat flux,International Journal of Heat and Mass …,N Dukhan
30,"EA Friis, RS Lakes, JB Par",346,1988,[PDF] wisc.edu,Journal of Materials Science,"EA Friis, RS Lakes, JB Park - Journal of Materials Science, 1988 - Springer","… 2, 3] that man-made foams, even if closed cell in nature, often behave as an open-cell foam … 9
shows a sample in a strained state: many of the cell walls have been torn or … for thermo- setting
polymer foams; and sequential plastic com- pression in three directions for metal foams …",Negative Poisson's ratio polymeric and metallic foams,Journal of Materials Science,EA Friis
31,"XH Yang, JX Bai, HB Yan, JJ Kuang, TJ Lu",34,2014,[PDF] researchgate.net,Transport in porous …,"XH Yang, JX Bai, HB Yan, JJ Kuang, TJ Lu… - Transport in porous …, 2014 - Springer","We present an analytical model for the effective thermal conductivity of fluid-saturated metal foams with open cells. For high porosity ranges (ε ≥ 0.9)(ε≥ 0.9), the model is derived based on a realistic representative unit cell (a tetrakaidecahedron with cuboid node) under",An analytical unit cell model for the effective thermal conductivity of high porosity open-cell metal foams,Transport in porous …,XH Yang
32,"LE Murr, SM Gaytan, F Medina, E Martinez",209,2010,No,Materials Science and …,"LE Murr, SM Gaytan, F Medina, E Martinez… - Materials Science and …, 2010 - Elsevier","… With the exception of the most dense solid and open (or hollow) cell structures, the experimental
hollow cellular foams in Table 1 have relative densities equal to or less than 0.3, consistent with
most of the other reported metal and alloy foams, especially aluminum and …",Characterization of Ti–6Al–4V open cellular foams fabricated by additive manufacturing using electron beam melting,Materials Science and …,LE Murr
33,"EM Castrodeza, C Mapelli, M Vedani",32,2009,No,Journal of materials …,"EM Castrodeza, C Mapelli, M Vedani… - Journal of materials …, 2009 - Springer","Foams and other highly porous materials with a cellular structure are known to have many interesting combinations of physical and mechanical properties. In addition, foaming of shape memory alloys (SMA) greatly improves the set of application possibilities. In this work",Processing of shape memory CuZnAl open-cell foam by molten metal infiltration,Journal of materials …,EM Castrodeza
34,"Z Wang, H Ma, L Zhao, G Yan",111,2006,No,Scripta Materialia,"Z Wang, H Ma, L Zhao, G Yang - Scripta Materialia, 2006 - Elsevier","… Metal foams, as a new class of engineering materials, have potential for absorbing energy for …
to the difficulty of characterizing the high strain rate behavior of aluminum alloy foams. Kenny
[2] reported that the specific energy absorption of Alcan foam (open-cell) was independent …",Studies on the dynamic compressive properties of open-cell aluminum alloy foams,Scripta Materialia,Z Wang
35,"M Wicklein, K Thom",72,2005,No,Materials Science and Engineering: A,"M Wicklein, K Thoma - Materials Science and Engineering: A, 2005 - Elsevier","… The elastic and plastic properties of an open-cell aluminium foam have been determined by … J.
Banhart, MF Ashby, NA Fleck (Eds.), Cellular Metals and Metal Foaming Technology, MIT … J.
Banhart. J. Banhart, H. Eifert (Eds.), Fraunhofer USA Metal Foam Symposium—Symposium …",Numerical investigations of the elastic and plastic behaviour of an open-cell aluminium foam,Materials Science and Engineering: A,M Wicklein
36,"H Liu, J Wei, Z Q",21,2012,[PDF] xjtu.edu.cn,Journal of Sound and Vibration,"H Liu, J Wei, Z Qu - Journal of Sound and Vibration, 2012 - Elsevier","As the speed of high-speed train (HST) increases continuously, aerodynamic noise has become more remarkable compared with the wheel/rail noise, which affects the inhabited environment along the railway and the riding comfort. This paper preliminarily investigates",Prediction of aerodynamic noise reduction by using open-cell metal foam,Journal of Sound and Vibration,H Liu
37,"S De Schampheleire, P De Jaeger, K De Kerpel",23,2016,[PDF] mdpi.com,Materials,"S De Schampheleire, P De Jaeger, K De Kerpel… - Materials, 2016 - mdpi.com","This paper reviews the available methods to study thermal applications with open-cell metal foam. Both experimental and numerical work are discussed. For experimental research, the focus of this review is on the repeatability of the results. This is a major concern, as most",How to study thermal applications of open-cell metal foam: Experiments and computational fluid dynamics,Materials,S De Schampheleire
38,"N Michailidis, F Stergioudi, H Omar, DN Tsipa",69,2010,[PDF] academia.edu,Mechanics of Materials,"N Michailidis, F Stergioudi, H Omar, DN Tsipas - Mechanics of Materials, 2010 - Elsevier","… Production of the open-cell Al-foams … The construction of the 3D model of the open-cell Al-foam
was based on a serial sectioning method … The procedure followed to simulate and calculate the
stresses developed during the deformation of the Al metal foam is described in detail in …",An image-based reconstruction of the 3D geometry of an Al open-cell foam and FEM modeling of the material response,Mechanics of Materials,N Michailidis
39,"DJ Sypeck, HNG Wadle",204,2002,[PDF] virginia.edu,Advanced Engineering Materials,"DJ Sypeck, HNG Wadley - Advanced Engineering Materials, 2002 - Wiley Online Library","… Nonetheless, the relative properties of the tetrahedral truss core significantly exceed stochastic
foam systems, are … Sypeck, Wadley/Cellular Metal Truss Core Sandwich Structures close to model
predictions and show much promise as an open cell counterpart to honeycomb …",Cellular metal truss core sandwich structures,Advanced Engineering Materials,DJ Sypeck
40,"N Jha, DP Mondal, JD Majumdar, A Badkul, AK Jha",99,2013,No,Materials & Design,"N Jha, DP Mondal, JD Majumdar, A Badkul, AK Jha… - Materials & Design, 2013 - Elsevier","… 7]. In recent years, there has been a strong interest in using metal foams, especially Ti … a
temperature above 400 °C. Several methods have been adopted for producing open cell titanium
foams … and hollow sphere sintering [3] resulting in limited porosity (<50%) in the foam body …",Highly porous open cell Ti-foam using NaCl as temporary space holder through powder metallurgy route,Materials & Design,N Jha
41,"K Boomsma, D Poulikako",309,2002,[PDF] psu.edu,Journal of …,"K Boomsma, D Poulikakos - Journal of …, 2002 - … .asmedigitalcollection.asme.org","… Reviewing the pressure-drop data from both the compressed and uncompressed foams, it
becomes apparent that the flow through open-cell metal foams deviates from Darcy law flow be-
havior, ie, the pressure-drop across the foam is a quadratic func- tion of the flow velocity …",The effects of compression and pore size variations on the liquid flow characteristics in metal foams,Journal of …,K Boomsma
42,"S Mellouli, H Dhaou, F Askri, A Jemni",93,2009,No,International Journal of …,"S Mellouli, H Dhaou, F Askri, A Jemni… - International Journal of …, 2009 - Elsevier","… Fig. 7. (a) Aluminium open-cell foams, (b, c) typical pore structure of open-cell metal foam and
(d) ligament cross sections, taken from [21], [22]. Duocel Aluminium foam from ERG Materials
and Aerospace Corporation [21] is press-fitted inside the different cases of MHTs …",Hydrogen storage in metal hydride tanks equipped with metal foam heat exchanger,International Journal of …,S Mellouli
43,N Dukha,100,2013,No,201,N Dukhan - 2013 - books.google.com,"… Open-cell foams are highly permeable with a substantial surface area density (up to 5600
m2/m3) … The near future will very likely see more test standards (some international) for foams
and foam-based struc … New large-scale and serial applications of metal foams are anticipated …",[BOOK][B] Metal foams: fundamentals and applications,,
44,"S Yu, J Liu, M Wei, Y Luo, X Zhu, Y Li",48,2009,No,Materials & Design,"S Yu, J Liu, M Wei, Y Luo, X Zhu, Y Liu - Materials & Design, 2009 - Elsevier","… 5. Energy absorption capacity of open-cell ZA22 foams … of metallic foams is mainly due to cells
yielding, buckling, fracture, and the friction between cell walls when … provide more friction source
during the collapse course because of higher volume fraction of matrix metal in the …",Compressive property and energy absorption characteristic of open-cell ZA22 foams,Materials & Design,S Yu
45,"HNG Wadley, NA Fleck, AG Evan",734,2003,[PDF] psu.edu,Composites Science and Technology,"HNG Wadley, NA Fleck, AG Evans - Composites Science and Technology, 2003 - Elsevier","… 1. Introduction. Numerous techniques have been developed for synthesizing inexpensive metal
foams with stochastic, closed cells [1], [2]. Other processes have been devised for manufacturing
open cell, stochastic structures [3], [4], [5], [6], [7], [8], [9], [10] …",Fabrication and structural performance of periodic cellular metal sandwich structures,Composites Science and Technology,HNG Wadley
46,"AA Sertkaya, K Altınısık, K Dince",55,2012,[PDF] academia.edu,Experimental Thermal and Fluid …,"AA Sertkaya, K Altınısık, K Dincer - Experimental Thermal and Fluid …, 2012 - Elsevier","… Dukhan and Quinones [15] reported convective heat transfer analysis of open cell metal foam
for solar air heaters. They found that the effective thermal conductivity of the foams can be up
to four times higher than that of solid aluminum and that the heat transfer can be improved …",Experimental investigation of thermal performance of aluminum finned heat exchangers and open-cell aluminum foam heat exchangers,Experimental Thermal and Fluid …,AA Sertkaya
47,"E Amsterdam, JTM De Hosson, PR Onc",55,2008,No,Scripta Materialia,"E Amsterdam, JTM De Hosson, PR Onck - Scripta Materialia, 2008 - Elsevier","… collapse stress of the foam, σ ys is the yield stress of the solid metal, and C … The plastic collapse
stress of the foam, σ pl ∗ , has been obtained by assuming plastic hinge formation at the …
Experimental data on polymer open-cell foams suggest a value for C E of ∼1 [1]. Warren and …",On the plastic collapse stress of open-cell aluminum foam,Scripta Materialia,E Amsterdam
48,"N Dukhan, KC Che",92,2007,No,Experimental Thermal and Fluid Science,"N Dukhan, KC Chen - Experimental Thermal and Fluid Science, 2007 - Elsevier","… The present work provides an approximate model for the heat transfer in open-cell
metal foams (such as aluminum foam), when they are used in a forced convective
mode with a low conductivity fluid (such as air). The analysis …",Heat transfer measurements in metal foam subjected to constant heat flux,Experimental Thermal and Fluid Science,N Dukhan
49,"C Moon, D Kim, GB Abadi, SY Yoon, KC Ki",18,2016,No,International Journal of Heat …,"C Moon, D Kim, GB Abadi, SY Yoon, KC Kim - International Journal of Heat …, 2016 - Elsevier","The effects of the hollowness of a metal foam ligament on the heat transfer characteristics are presented, and an empirical correlation is suggested for estimating the corresponding Nusselt number. Three-dimensional numerical simulations with the Weaire–Phelan model",Effect of ligament hollowness on heat transfer characteristics of open-cell metal foam,International Journal of Heat …,C Moon
50,"I Jin, LD Kenny, H San",167,1990,No,US Patent 4,"I Jin, LD Kenny, H Sang - US Patent 4,973,358, 1990 - Google Patent","… C22C1/00—Making alloys; C22C1/08—Alloys with open or closed pores; C22C2001/083—
Foaming … This closed cell foam in the above manner continuously forms and flows out of the …
Additional molten metal composite 19 can be added to the chamber either continuously or …",Method of producing lightweight foamed metal,"US Patent 4,973,358",I Jin
51,"E Amsterdam, PR Onck, JTM De Hosso",49,2005,[PDF] researchgate.net,Journal of Materials Science,"E Amsterdam, PR Onck, JTM De Hosson - Journal of Materials Science, 2005 - Springer","… Under macroscopic com- pression metal foams usually exhibit ductile behav- ior. However, under
macroscopic tension the reported strains reached at peak stress are a few percent for open- and
closed-cell metal foam [1–9], eg an elon- gation to failure of 5% for a pure …",Fracture and microstructure of open cell aluminum foam,Journal of Materials Science,E Amsterdam
52,"D Baillis, M Raynaud, JF Sacadur",64,1999,No,Journal of thermophysics and heat …,"D Baillis, M Raynaud, JF Sacadura - Journal of thermophysics and heat …, 1999 - arc.aiaa.org","… 2016. Radiative properties modeling of open cell solid foam: Review and new
analytical law. International Journal of Thermal Sciences 104, 122-134 … 2016. Effects
of ligaments shape on radiative heat transfer in metal foams …",Spectral radiative properties of open-cell foam insulation,Journal of thermophysics and heat …,D Baillis
53,"Y An, C Wen, PD Hodgson, C Yan",25,2012,No,Computational Materials Science,"Y An, C Wen, PD Hodgson, C Yang - Computational Materials Science, 2012 - Elsevier","The mechanical behaviours of metal foams greatly depend on their cell topology, including cell shape, cell size etc. as well as relative density and material properties of the cell wall. However, the cell shape effect on the mechanical behaviours of such materials appears to",Investigation of cell shape effect on the mechanical behaviour of open-cell metal foams,Computational Materials Science,Y An
54,"VS Deshpande, MF Ashby, NA Flec",651,2001,[PDF] semanticscholar.org,Acta materialia,"VS Deshpande, MF Ashby, NA Fleck - Acta materialia, 2001 - Elsevier","… Open-cell foam microstructures can be treated as periodic frameworks … If a space-filling unit cell
is made by assembling stretch and bending dominated sub-units, and … their financial support
through MURI grant number N00014-1-96-1028 on the Ultralight Metal Structures project …",Foam topology: bending versus stretching dominated architectures,Acta materialia,VS Deshpande
55,"JF Despois, A Mortense",172,2005,[PDF] epfl.ch,Acta Materialia,"JF Despois, A Mortensen - Acta Materialia, 2005 - Elsevier","… Heat can then be exchanged between the fluid and the solid foam, or alternatively the foam can
be used to change the fluid, acting as a filter, mixer, electrode or catalyser. Open-cell metal foams
can thus provide performance advantages in forced convection heat-exchangers …",Permeability of open-pore microcellular materials,Acta Materialia,JF Despois
56,"AM Harte, NA Fleck, MF Ashb",204,1999,[PDF] semanticscholar.org,Acta materialia,"AM Harte, NA Fleck, MF Ashby - Acta materialia, 1999 - Elsevier","… of the test and debris of dimension 0.5–1 mm fell freely from the open cell foam structure … cells
are associated with, and may be induced by tensile cracking of the cell faces … financial support
through MURI grant number N00014-1-96-1028 on the Ultralight Metal Structures project …",Fatigue failure of an open cell and a closed cell aluminium alloy foam,Acta materialia,AM Harte
57,"CY Zhao, T Kim, TJ Lu, HP Hodso",168,2004,No,Journal of Thermophysics and …,"CY Zhao, T Kim, TJ Lu, HP Hodson - Journal of Thermophysics and …, 2004 - arc.aiaa.org","… It is only during the past 15 years, that transport phenomena in open-celled metal foams with
solid-cell lig- aments … They concluded that the conduction of a metal foam may not be significant
due to its thin cell ligaments and that dispersion may dominate the heat transport …",Thermal transport in high porosity cellular metal foams,Journal of Thermophysics and …,CY Zhao
58,TJ L,190,1999,No,International Journal of Heat and Mass Transfer,"TJ Lu - International Journal of Heat and Mass Transfer, 1999 - Elsevier","… ρ −1/2 −1) 0.3. where a is the cell size and ρ is the relative density of the foam. For a regular
honeycomb, ρ = 2t/a (if at) . Selected results of the ratio, h̄/h̄ foam , suggest that for forced air
cooling, metal honeycombs compete well against metal foams with open cells, especially …",Heat transfer efficiency of metal honeycombs,International Journal of Heat and Mass Transfer,
59,"MF Ashby, T Evans, NA Fleck, JW Hutchinson",361,2000,[PDF] academia.edu,200,"MF Ashby, T Evans, NA Fleck, JW Hutchinson… - 2000 - books.google.com","… 2.1 Making metal foams The properties of metal foam and other cellular metal structures depend
upon the properties of the metal, the relative density and cell topology (eg open or closed cell,
cell size, etc.). Metal foams are made by one of nine processes, listed below …",[BOOK][B] Metal foams: a design guide,,MF Ashby
60,"S Lee, F Barthelat, N Moldovan, HD Espinosa",94,2006,[HTML] sciencedirect.com,International Journal of …,"S Lee, F Barthelat, N Moldovan, HD Espinosa… - International Journal of …, 2006 - Elsevier","… To prevent metal-to-metal contact resulting in large deformation of the Al sabot, a PVC … through
the specimen in the loading direction similarly to the shock front propagation in open-cell foams …
When a foam material is impacted at a sufficiently high velocity, a crushing front is …",[HTML][HTML] Deformation rate effects on failure modes of open-cell Al foams and textile cellular materials,International Journal of …,S Lee
61,"ZX Lu, Q Liu, JX Huan",27,2011,No,Materials Science and Engineering: A,"ZX Lu, Q Liu, JX Huang - Materials Science and Engineering: A, 2011 - Elsevier","Abstract Effects of three different types of morphological defects–missing cell struts, filled cell faces and curved cell struts–on the compressive behaviors of open-cell metal foams are investigated using finite element method (FEM) in this study. The imperfect model is",Analysis of defects on the compressive behaviors of open-cell metal foams through models using the FEM,Materials Science and Engineering: A,ZX Lu
